Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-06-08,Student loan,Non-federal student loan,Problems when you are unable to pay,ACCESS GROUP INC.,FL,33319.0,,Postal mail,7/02/12,Closed with explanation,Yes,No,97575,24 days 00:00:00.000000000
2012-06-21,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",Ditech Financial LLC,MI,48854.0,,Web,6/22/12,Closed with explanation,Yes,No,105877,1 days 00:00:00.000000000
2012-06-19,Credit card,,Billing disputes,CAPITAL ONE FINANCIAL CORPORATION,CA,90016.0,,Web,6/21/12,Closed with explanation,Yes,No,104490,2 days 00:00:00.000000000
2012-06-04,Bank account or service,Checking account,Problems caused by my funds being low,"SUNTRUST BANKS, INC.",FL,34994.0,,Web,6/05/12,Closed with monetary relief,Yes,No,93058,1 days 00:00:00.000000000
2012-06-21,Bank account or service,Checking account,"Account opening, closing, or management",HSBC NORTH AMERICA HOLDINGS INC.,NY,11234.0,,Referral,7/02/12,Closed,Yes,No,106303,11 days 00:00:00.000000000
2012-06-26,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,MN,55447.0,,Web,6/28/12,Closed with explanation,Yes,Yes,108090,2 days 00:00:00.000000000
2012-02-14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","CITIBANK, N.A.",FL,34689.0,,Referral,2/14/12,Untimely response,No,No,23480,0 days 00:00:00.000000000
2012-06-05,Credit card,,Identity theft / Fraud / Embezzlement,CAPITAL ONE FINANCIAL CORPORATION,NY,10801.0,,Referral,6/18/12,Closed with monetary relief,Yes,No,94679,13 days 00:00:00.000000000
2012-06-19,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",CT,6478.0,,Web,6/21/12,Closed with non-monetary relief,Yes,No,104242,2 days 00:00:00.000000000
2012-06-13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,CA,92081.0,,Referral,6/20/12,Closed with explanation,Yes,No,100676,7 days 00:00:00.000000000
2012-02-13,Mortgage,Conventional adjustable mortgage (ARM),Settlement process and costs,OCWEN LOAN SERVICING LLC,CA,95377.0,Servicemember,Web,3/23/12,Closed without relief,Yes,No,23179,39 days 00:00:00.000000000
2012-06-15,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",MD,20769.0,,Web,6/22/12,Closed with non-monetary relief,Yes,Yes,102545,7 days 00:00:00.000000000
2012-06-10,Student loan,Non-federal student loan,Repaying your loan,ACS Education Services,CA,92129.0,,Web,6/15/12,Closed with non-monetary relief,Yes,No,97429,
2012-06-12,Mortgage,Other mortgage,Other,"Seterus, Inc.",MT,59860.0,,Postal mail,6/13/12,Closed with explanation,Yes,No,100032,1 days 00:00:00.000000000
2012-02-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,VA,20164.0,,Web,5/09/12,Closed without relief,Yes,No,26895,73 days 00:00:00.000000000
2012-06-13,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90746.0,,Web,6/15/12,Closed with explanation,No,No,100760,2 days 00:00:00.000000000
2012-06-05,Mortgage,Other mortgage,Other,OCWEN LOAN SERVICING LLC,TX,77511.0,,Postal mail,6/10/12,Closed with explanation,Yes,Yes,94902,5 days 00:00:00.000000000
2012-06-19,Bank account or service,Checking account,"Account opening, closing, or management",Bank of China USA,NY,10038.0,,Web,6/25/12,Closed,Yes,No,104322,6 days 00:00:00.000000000
2012-06-18,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",PA,19460.0,,Referral,6/20/12,Closed with explanation,No,No,103279,2 days 00:00:00.000000000
2012-06-22,Bank account or service,Checking account,Deposits and withdrawals,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7079.0,,Referral,6/26/12,Closed with monetary relief,Yes,No,106884,4 days 00:00:00.000000000
2012-06-15,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",NY,11214.0,,Web,6/18/12,Closed with explanation,Yes,No,102716,3 days 00:00:00.000000000
2012-06-26,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,AZ,85260.0,Servicemember,Email,6/29/12,Closed with explanation,Yes,No,108745,3 days 00:00:00.000000000
2012-06-07,Bank account or service,Checking account,"Making/receiving payments, sending money",JPMORGAN CHASE & CO.,OK,74578.0,,Referral,6/20/12,Closed with explanation,No,Yes,97229,13 days 00:00:00.000000000
2012-06-15,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",OCWEN LOAN SERVICING LLC,CT,6840.0,,Referral,6/25/12,Closed with explanation,Yes,No,103183,10 days 00:00:00.000000000
2012-06-30,Credit card,,Collection debt dispute,DISCOVER BANK,AR,72901.0,,Referral,6/29/12,Closed with explanation,Yes,No,110642,-1 days +00:00:00.000000000
